iter	RMSE
126	250.5521239
127	249.2948366
128	247.4184857
129	245.4698274
130	244.8066838
131	242.8582079
132	241.1235539
133	239.5808487
134	237.9954043
135	236.7567651
136	234.9099797
137	233.4874295
138	232.1092241
139	230.9488359
140	229.2725773
141	228.2692434
142	227.3043388
143	225.9988488
144	224.4912694
145	223.7578245
146	222.1409834
147	220.8558224
148	220.0283355
149	218.6956177
150	217.6101863
151	216.0320437
152	214.5758586
153	214.0093985
154	212.5717991
155	211.4977359
156	210.4491798
157	209.2578107
158	208.465485
159	206.8092835
160	205.5856826
161	204.4647904
162	202.9699319
163	201.5387385
164	200.3954692
165	198.972922
166	197.3242573
167	196.3688135
168	195.4242785
169	194.5330574
170	193.4969328
171	192.5001597
172	191.2253343
173	190.5847149
174	189.6472626
175	188.3892064
176	187.7241543
177	186.2462268
178	184.7995027
179	183.4210241
180	182.4689294
181	181.6047365
182	180.4639737
183	179.9212959
184	178.7554475
185	177.6855234
186	176.4329651
187	175.1608354
188	174.6788071
189	173.5632422
190	172.3652366
191	171.5496743
192	170.483363
193	169.5874198
194	168.5698757
195	167.5047282
196	167.0301179
197	165.7305246
198	164.7684909
199	163.4521877
200	162.2593641
201	161.2317253
202	160.2277056
203	159.3061499
204	158.3742799
205	157.9483396
206	156.835278
207	155.778265
208	155.0329837
209	153.8213109
210	152.9795968
211	151.7155936
212	150.7165007
213	150.1322257
214	149.0914899
215	148.0477089
216	147.0184143
217	145.8754947
218	145.0289823
219	143.8548228
220	142.9838794
221	142.0587419
222	141.4298738
223	140.6149389
224	139.598995
225	138.5410687
226	137.6847018
227	136.3710518
228	135.6349714
229	134.6917528
230	133.6620567
231	133.1727051
232	131.9983805
233	130.8941917
234	130.0230192
235	129.4975575
236	128.6714568
237	127.7563213
238	127.0298023
239	126.2874183
240	125.163627
241	124.7309795
242	123.8954899
243	122.9497734
244	122.6090901
245	121.7068468
246	120.984756
247	119.9551387
248	118.9862609
249	117.95617
250	116.9784503
251	116.6378039
252	115.6764556
253	114.9540303
254	114.0209178
255	113.7148211
256	113.1894642
257	112.3764583
258	111.4118518
259	110.6857622
260	110.3929918
261	109.4669484
262	108.574068
263	107.7891074
264	106.903528
265	106.6048933
266	105.7159678
267	104.8687162
268	104.1964267
269	103.3164529
270	102.5385794
271	101.870784
272	101.0292693
273	100.2193873
274	99.39666962
275	98.60412767
276	97.79981655
277	97.4810861
278	96.86796854
279	96.08281979
280	95.40765547
281	94.63916434
282	93.86548264
283	93.5748561
284	93.31318995
285	92.57019926
286	91.82230445
287	91.41112214
288	90.84288947
289	90.22054855
290	89.66469423
291	89.39312868
292	88.84464842
293	88.15069555
294	87.4661678
295	86.78198639
296	86.25401716
297	86.02799758
298	85.80951994
299	85.28984314
300	84.63439392
301	83.97804044
302	83.42557291
303	82.77520832
304	82.27948909
305	81.9239239
306	81.68241462
307	81.4082603
308	81.071415
309	80.72676214
310	80.24942543
311	80.01790463
312	79.54175047
313	79.31408101
314	78.72210267
315	78.21585265
316	77.71629267
317	77.22333898
318	76.73236139
319	76.49717864
320	76.18003091
321	75.73425216
322	75.31469806
323	75.07756575
324	74.84327336
325	74.63662577
326	74.18811746
327	73.64937196
328	73.19202045
329	72.74073645
330	72.29678484
331	72.00541326
332	71.62950475
333	71.21425479
334	70.78186521
335	70.50015801
336	70.29276469
337	69.8005929
338	69.61689114
339	69.43270067
340	69.06221665
341	68.6952626
342	68.33220783
343	67.78395841
344	67.60732056
345	67.29416739
346	67.03275049
347	66.77521908
348	66.42523913
349	66.17299613
350	66.02545255
351	65.53919102
352	65.19847703
353	64.72277023
354	64.38758155
355	64.0559485
356	63.54081515
357	63.21555855
358	62.92797825
359	62.69156281
360	62.37272706
361	61.93645646
362	61.70648377
363	61.42707654
364	61.11713031
365	60.6555706
366	60.43285327
367	60.12915597
368	59.91102424
369	59.61172474
370	59.39808548
371	58.98195958
372	58.72129834
373	58.42921425
374	58.14057801
375	57.8549705
376	57.45043961
377	57.02731871
378	56.63072207
379	56.43127341
380	56.01782167
381	55.77415426
382	55.65870811
383	55.25194223
384	54.86472859
385	54.59624465
386	54.21923745
387	53.84135746
388	53.73014767
389	53.3571043
390	52.98822584
391	52.73005963
392	52.36689776
393	52.03966434
394	51.68337141
395	51.33070083
396	50.9813189
397	50.87631019
398	50.53143616
399	50.19044712
400	49.85048689
401	49.39147494
402	49.28996293
403	49.00442436
404	48.55618976
405	48.27602
406	47.97813138
407	47.54259096
408	47.26913754
409	46.84317895
410	46.57485342
411	46.48054076
412	46.06463253
413	45.84550083
414	45.4710672
415	45.03681103
416	44.60965615
417	44.18400548
418	43.76969475
419	43.35659091
420	42.94725821
421	42.54637758
422	42.1515179
423	41.77548171
424	41.42880413
425	41.08733205
426	40.77234081
427	40.43851633
428	40.10972832
429	39.78650788
430	39.46815588
431	39.15460302
432	38.84578093
433	38.54162213
434	38.21209764
435	37.91665225
436	37.65017027
437	37.33227536
438	37.11905394
439	36.90794577
440	36.68668178
441	36.34877111
442	36.07116842
443	35.82043651
444	35.61826872
445	35.40581841
446	35.0812389
447	34.81523012
448	34.49855355
449	34.23892447
450	34.00275021
451	33.76636803
452	33.59986947
453	33.43669104
454	33.27675855
455	33.08664948
456	32.90591051
457	32.74599063
458	32.56095379
459	32.38353527
460	32.22671262
461	32.00309789
462	31.84907829
463	31.67011495
464	31.51807589
465	31.36312903
466	31.18885451
467	30.97229982
468	30.82046363
469	30.67460194
470	30.51725309
471	30.37356181
472	30.20665939
473	30.064824
474	29.91315099
475	29.77342881
476	29.61208266
477	29.47417184
478	29.20670837
479	29.07140434
480	28.80850582
481	28.5490067
482	28.40159134
483	28.27026072
484	28.01645895
485	27.88760193
486	27.63812824
487	27.44759546
488	27.2198136
489	26.97747122
490	26.75532167
491	26.62243191
492	26.4041058
493	26.18882027
494	25.97653351
495	25.75316333
496	25.62650312
497	25.42009442
498	25.21656117
499	25.09306184
500	24.89284571
501	24.69541714
502	24.50073786
503	24.30877011
504	24.11947668
505	23.93282085
506	23.72596576
507	23.52658958
508	23.43838192
509	23.25878374
510	23.0593406
511	22.8842248
512	22.69385537
513	22.64735819
514	22.45486289
515	22.28847097
516	22.10451548
517	21.98140214
518	21.79607371
519	21.75106171
520	21.57295748
521	21.41480136
522	21.2354465
523	21.11864366
524	20.9428421
525	20.89732387
526	20.72827447
527	20.5776201
528	20.40747132
529	20.24387253
530	20.19963912
531	20.08993215
532	19.92519356
533	19.76680077
534	19.6246412
535	19.46494605
536	19.42200342
537	19.31785244
538	19.16585414
539	19.01125026
540	18.862605
541	18.82085157
542	18.67419445
543	18.52965957
544	18.39673898
545	18.35610629
546	18.21733588
547	18.08745519
548	17.95208709
549	17.82496048
550	17.69776881
551	17.56907871
552	17.4145114
553	17.2916287
554	17.14052261
555	17.01753595
556	16.87001116
557	16.75187072
558	16.63243852
559	16.51448779
560	16.37123717
561	16.23018168
562	16.11694283
563	15.98308521
564	15.8512197
565	15.7213182
566	15.62593693
567	15.48324289
568	15.38954217
569	15.29676728
570	15.19226564
571	15.0888563
572	14.98652875
573	14.85183548
574	14.75143164
575	14.64647343
576	14.54783407
577	14.44486488
578	14.32805654
579	14.23184842
580	14.13665206
581	14.03696906
582	13.93821372
583	13.84880558
584	13.76060462
585	13.66879957
586	13.57796119
587	13.48091514
588	13.38750844
589	13.29291633
590	13.20007099
591	13.11655057
592	13.01274671
593	12.92254075
594	12.84175911
595	12.75647372
596	12.66650568
597	12.5780293
598	12.49123926
599	12.40570442
600	12.30956768
601	12.22789541
602	12.15939624
603	12.07895847
604	12.01174292
605	11.9292951
606	11.85054861
607	11.77575263
608	11.71103448
609	11.62402279
610	11.54127933
611	11.46155836
612	11.3806552
613	11.29730162
614	11.21154655
615	11.12644317
616	11.05056845
617	10.97579604
618	10.88575009
619	10.81262054
620	10.72476067
621	10.63987495
622	10.56901841
623	10.51083428
624	10.45323145
625	10.39620425
626	10.32774635
627	10.27165659
628	10.2042805
629	10.14392823
630	10.0841827
631	10.02503792
632	9.966487965
633	9.908526994
634	9.851149218
635	9.786845801
636	9.707900655
637	9.630283905
638	9.574757706
639	9.498885449
640	9.41203247
641	9.326567571
642	9.257885806
643	9.204529341
644	9.15170958
645	9.097010786
646	9.026697608
647	8.956510637
648	8.904492054
649	8.84486954
650	8.785895145
651	8.73700821
652	8.66937922
653	8.6246935
654	8.558468013
655	8.511289933
656	8.447808993
657	8.404681065
658	8.340652711
659	8.283687748
660	8.221053592
661	8.179493639
662	8.131571107
663	8.075181362
664	8.034631811
665	7.974463548
666	7.928148953
667	7.882436241
668	7.823923616
669	7.776120594
670	7.731545494
671	7.67442889
672	7.609100441
673	7.54479309
674	7.489253975
675	7.426351482
676	7.36443545
677	7.310426054
678	7.249867689
679	7.190262237
680	7.137736461
681	7.079443001
682	7.022069957
683	6.9709833
684	6.943824763
685	6.887882726
686	6.837974532
687	6.811357257
688	6.784980388
689	6.736007556
690	6.681968058
691	6.641504652
692	6.593721257
693	6.568169084
694	6.54284845
695	6.491834971
696	6.440095468
697	6.389180021
698	6.339551269
699	6.289827874
700	6.258611155
701	6.209836409
702	6.16141778
703	6.113774788
704	6.066896549
705	6.019654615
706	5.973836196
707	5.944203786
708	5.898049882
709	5.853537294
710	5.824637773
711	5.78101364
712	5.736391577
713	5.708204869
714	5.66582868
715	5.624140159
716	5.580994343
717	5.553660508
718	5.513169811
719	5.486301542
720	5.444429259
721	5.405103666
722	5.366420664
723	5.331630969
724	5.305684522
725	5.267948267
726	5.228045074
727	5.1863618
728	5.145261474
729	5.104736275
730	5.064778488
731	5.023550349
732	4.984355881
733	4.945710198
734	4.907605938
735	4.861351805
736	4.821820618
737	4.787747847
738	4.751578203
739	4.718154281
740	4.682600329
741	4.64981256
742	4.614862818
743	4.582698768
744	4.539864029
745	4.505756477
746	4.469418195
747	4.43838276
748	4.415764973
749	4.385285762
750	4.362986135
751	4.340863673
752	4.318917084
753	4.297145092
754	4.275546432
755	4.243164228
756	4.221878097
757	4.190090933
758	4.150183876
759	4.129401423
760	4.108784236
761	4.088331134
762	4.068040945
763	4.047912508
764	4.027944672
765	4.008136295
766	3.988486248
767	3.953209186
768	3.918513667
769	3.88917755
770	3.860254466
771	3.831738848
772	3.809987379
773	3.788488283
774	3.767238911
775	3.737261449
776	3.716458901
777	3.695898213
778	3.67802499
779	3.652205738
780	3.632044553
781	3.612118103
782	3.580313099
783	3.560806272
784	3.535733918
785	3.517356567
786	3.500294457
787	3.48131086
788	3.455201668
789	3.437366643
790	3.411273066
791	3.381428206
792	3.364033637
793	3.347863734
794	3.32973468
795	3.30464113
796	3.281333176
797	3.263685994
798	3.250832824
799	3.228089268
800	3.217394904
801	3.200200546
802	3.187693679
803	3.177243977
804	3.149663735
805	3.134152238
806	3.118055163
807	3.102769668
808	3.087668193
809	3.069963642
810	3.056325796
811	3.041573382
812	3.028150072
813	3.010930939
814	2.996520171
815	2.983355127
816	2.966562183
817	2.953623124
818	2.9395737
819	2.926837981
820	2.910506659
821	2.886731308
822	2.863312999
823	2.845732482
824	2.828370397
825	2.811223989
826	2.794290542
827	2.774283486
828	2.757674995
829	2.738024549
830	2.721734343
831	2.707038611
832	2.691044026
833	2.676571518
834	2.662227619
835	2.648011226
836	2.636415052
837	2.622386779
838	2.608483076
839	2.591518986
840	2.573176753
841	2.561944314
842	2.548423193
843	2.535022209
844	2.512115834
845	2.494369607
846	2.479831492
847	2.466839718
848	2.453963553
849	2.438526146
850	2.425858312
851	2.410679646
852	2.398216466
853	2.383291809
854	2.371029684
855	2.356354404
856	2.33986579
857	2.323484224
858	2.314049339
859	2.299793535
860	2.283803199
861	2.271946969
862	2.256244843
863	2.247097259
864	2.233349707
865	2.218012926
866	2.2022004
867	2.184412763
868	2.175744206
869	2.167152964
870	2.149714823
871	2.141268155
872	2.132896944
873	2.118184905
874	2.10994023
875	2.101769296
876	2.087321178
877	2.077143037
878	2.069170885
879	2.058757404
880	2.048474407
881	2.040380519
882	2.030251881
883	2.022257827
884	2.01228066
885	2.002428037
886	1.994556065
887	1.984850011
888	1.975264861
889	1.967511265
890	1.958067968
891	1.949613164
892	1.940309688
893	1.931994271
894	1.923794171
895	1.912486481
896	1.897019218
897	1.884982504
898	1.869809145
899	1.854817113
900	1.845938702
901	1.837170761
902	1.832937945
903	1.828746419
904	1.816966164
905	1.808372135
906	1.804242214
907	1.794993685
908	1.790375541
909	1.776020268
910	1.766184137
911	1.752070968
912	1.741035871
913	1.733649145
914	1.719815804
915	1.713275148
916	1.699655372
917	1.693229094
918	1.686868539
919	1.680573061
920	1.668587109
921	1.655366223
922	1.642303069
923	1.635867742
924	1.624232536
925	1.61271838
926	1.603865214
927	1.591248754
928	1.578782465
929	1.570167678
930	1.557905161
931	1.545788574
932	1.540012339
933	1.528080901
934	1.522102647
935	1.516188249
936	1.510607096
937	1.504803055
938	1.494295922
939	1.48389765
940	1.473606984
941	1.463422685
942	1.453343529
943	1.4431104
944	1.432983117
945	1.422960616
946	1.41321855
947	1.403375873
948	1.393635051
949	1.383995063
950	1.374577127
951	1.365109982
952	1.361780659
953	1.351824071
954	1.341995528
955	1.332293453
956	1.322716288
957	1.316539108
958	1.30712799
959	1.300072904
960	1.294180533
961	1.29095102
962	1.281775129
963	1.272717533
964	1.263776778
965	1.25697315
966	1.247574421
967	1.244491095
968	1.235796489
969	1.22922179
970	1.223531375
971	1.217009974
972	1.20748132
973	1.198465252
974	1.189111279
975	1.180265643
976	1.175786624
977	1.167706689
978	1.159053295
979	1.151573487
980	1.143696246
981	1.137607193
982	1.130292359
983	1.122596419
984	1.116641591
985	1.109487517
986	1.101018973
987	1.098499682
988	1.094358775
989	1.085857294
990	1.081787659
991	1.07608782
992	1.072082074
993	1.065209538
994	1.059622143
995	1.052846873
996	1.044861655
997	1.03994602
998	1.035090249
999	1.030293653
1
